0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-0.45202136,-1.0304236,-1.5226469,1.254293,0.91522264,4.346286,2.8388286,3.4303238,0.18598491,2.1910906,-0.66032016,-2.3267412,-3.3189957,0.5491338,-1.7208009,-0.88402003,-1.8916674,4.664074,-0.21910319,0.57263005,-6.63417,3.7544084,0.76707095,0.120774865,2.8227506,3.829707,-3.0163655,-1.2587737,-4.121333,3.0094943,1.2222074,-3.53879,2.4460368,-4.9221096,-0.7048521,-5.115365,0.23813725,1.809653,1.6837733,2.4461634,0.29343826,-0.23154494,-1.5822425,-0.3623971,-1.4566861,-0.8848542,-2.2374036,1.7614684,0.1127823,1.9050164,-4.7245164,3.676632,2.5350285,-1.7202762,-0.7219815,-3.9710498,5.2618103,1.2947054,1.3463335,-0.7182854,-1.7066777,3.764496,2.5951877,-1.1088381,0.67202485,-2.4786937,0.2648546,-0.47327527,-1.2748573,2.4350624,0.7968044,-0.30525798,3.558315,4.39334,-0.7265129,2.552449,3.5996106,1.9825499,4.3715234,-1.2849813,-2.2189395,3.9100578,-1.1215911,-2.236477,0.39362377,0.1269534,1.5812407,-5.118245,-0.6032401,-3.2487054,2.547832,0.62224185,-2.7090323,-3.1957684,-1.3574142,1.1575904,3.4255137,2.9803638,2.837583,-7.5477333,4.542955,1.4820579,1.1365628,1.2727444,-1.429477,-2.3793724,-2.3061185,-0.34131253,0.1879969,-0.95240426,1.3708618,4.8119287,3.569747,3.0780475,-1.6584368,1.7036108,-1.178474,2.3134322,4.833418,2.9684682,2.1968694,2.4806588,-0.12600452,-4.5406294,2.614805,1.8182228,2.5150666,0.880651
3.2236452,-0.35625863,-1.0947152,4.585626,0.09261918,2.4780955,0.088975325,3.0422924,0.20840377,0.55488825,1.4001704,-0.81335104,-3.3908155,-0.93622905,-1.0927546,0.04999727,-0.92478657,4.059841,-2.9366307,2.4668112,-5.7590866,4.461673,-2.6908188,0.11773831,0.962127,1.6954088,0.03592378,-1.9805753,-2.1091967,1.809912,1.9665762,-0.41269398,-0.8367043,-6.183443,0.34650028,-2.269516,0.7576318,-0.14383247,2.2373495,0.8313343,-0.70636797,0.5676997,-2.5697906,-1.1212254,-0.707525,-1.8562807,-2.0589964,2.1096654,1.4617143,-0.21784973,-4.192738,1.4409446,1.1329405,-0.45852935,1.7870306,-5.003864,3.4100885,1.5436673,2.8446693,0.97101355,0.9039484,2.4594913,2.2782507,-1.2226958,2.5017812,0.8464736,-0.2278626,1.5175354,0.23785627,2.1603882,0.17116429,-1.9476795,4.6644926,0.50850546,-0.64013207,2.4341128,2.2542524,0.9695982,3.8263826,0.39403304,-2.0673816,2.242551,-1.1695662,-0.61227787,0.052570492,1.7106916,-0.7070613,-5.720848,-0.15924823,-1.1537752,-0.40680707,3.4841156,-2.194352,-3.481192,0.24467413,1.3140196,1.8408339,3.6423068,1.3466328,-4.412208,3.8803787,0.27715945,-2.4267533,-1.6320148,-4.5891304,-0.78361154,-3.51647,-0.6013739,0.22285199,-0.84182954,0.047052026,1.7063134,2.9672863,0.34415662,0.7510981,-1.759089,-0.41738153,0.7251751,1.6698221,3.604771,1.8070873,2.2692108,-0.36321008,-3.1350396,3.4694345,0.47906503,1.2593417,0.13062868
-0.16175383,-4.3308578,1.0135686,1.2769977,2.5132976,1.4008033,-2.1376753,3.2570126,-1.8926908,2.6915603,0.398093,-0.2022152,-1.5797224,1.1434469,-3.5087695,1.9684808,-1.7098615,1.6237848,-1.9771149,1.0538346,-3.5507903,5.9005637,-1.9523761,0.1413511,-1.0435722,4.60244,-2.5572672,-1.6676035,1.2360538,3.3549247,0.80481946,-1.6291996,0.918258,-5.245984,-2.2238493,-2.578169,1.8507655,3.0912247,1.2651808,0.9636835,0.17698514,3.3692074,-1.3016645,0.45360917,-0.1698525,-0.6133971,-2.8885193,2.7401552,0.39669275,1.2932599,-1.565304,4.566448,2.0006568,-0.7130426,2.4191258,-2.911505,2.0659366,1.3982782,0.1939658,-2.6052694,-2.7982278,3.4102333,4.3418016,-0.09118956,-0.9717717,-0.003684044,3.5215352,4.3257375,-1.3923435,1.2692388,2.6671553,-0.39708325,1.4050925,1.8396074,-2.2857666,2.3546987,4.548467,1.675042,1.8250321,-1.5963641,-3.6716611,2.75391,1.392847,-2.684896,-0.3533672,2.044685,0.039019242,-1.8543398,1.489485,-3.7041657,3.2818556,-0.059447676,-3.6439054,-4.1374702,-2.0586274,-0.79515123,5.587796,1.4430152,3.6257985,-4.723998,3.0617666,-2.1768746,0.8241102,-0.21222305,-1.7481103,-2.702143,0.13113427,-1.5442976,0.537584,1.1171795,2.924467,4.1638846,3.2613423,2.230091,2.113154,-1.5111797,0.6802921,-0.09219897,2.1882381,3.1504664,1.2737775,3.714317,-2.8021922,-0.86787856,3.1079164,2.0073514,2.917521,-0.38540143
0.3754897,-1.4244429,-0.8556599,1.7293308,0.6350449,5.212734,2.1426907,4.7114954,-0.14011967,1.5634704,-1.835782,-1.9303403,-3.5786278,0.0995599,-0.79861677,-0.68407106,-2.650788,4.7072716,0.29453135,-0.98105264,-7.305377,2.4036446,0.14145017,-0.98639476,3.2335553,4.1965847,-2.450664,-0.89570075,-3.3717043,1.4213152,1.4177591,-3.5463476,1.6572313,-4.696454,-0.2526524,-4.6628304,2.3221755,0.3189605,1.9820399,1.3589647,-0.16962951,0.34170938,-2.4890094,-0.5463947,-1.5171914,-0.81579936,-2.7599583,1.3458829,-0.86976135,1.1717887,-3.3143606,4.232877,1.9323411,-2.0033402,-0.07819706,-4.1152396,5.0184402,0.6758759,2.4947128,-1.8093493,-1.8685946,3.8513968,2.4937973,0.23655969,1.4107523,-2.8429632,0.6833067,-1.6602798,-2.1971416,1.6039634,1.1358459,-0.13513565,3.6469111,4.1551924,0.017824218,1.6541967,3.0906873,0.8481331,5.879643,-1.6603492,-2.2380664,4.083199,-1.5431821,-3.0447326,-0.3218592,0.4837335,1.1555078,-4.8352194,0.5614997,-3.9190016,2.5001795,0.16056067,-2.2288947,-3.3206394,-1.3424808,1.6103104,3.4622684,3.2329676,2.3572671,-7.0536146,6.017111,1.840419,0.11500394,2.113922,-1.5492063,-3.759789,-2.5660853,0.7932322,0.5041107,-2.3758051,1.5539954,3.6256688,3.0183287,3.2196965,-1.7415127,1.2360656,-1.8770915,3.1937494,5.444533,1.9532342,1.2028776,2.0807686,-1.0691147,-4.6902237,3.3324218,2.5021532,3.5684156,1.7114499
1.2062685,0.11424737,-0.47654918,1.1688151,0.09068301,0.632494,0.01855877,2.0086503,-0.30603826,1.0501412,1.3621572,-0.32402408,-0.42719144,-0.30011404,-0.1420269,-0.29193413,-0.5163685,1.1479473,-1.4809058,1.0652797,-1.4776802,1.765239,-0.40880457,-0.53582454,-0.43738568,1.6201329,0.38522238,-0.28119797,0.5043437,1.5487099,0.20133574,-0.3803536,0.9583475,-1.9338709,-0.013587244,-1.3258594,1.3091323,-1.6413064,0.33862793,0.825984,-0.8138985,1.6862739,0.16014367,-1.09682,-0.7574978,-0.77434635,-1.1801691,0.66293263,0.49278855,-0.1378097,-0.60282993,1.8649392,0.14538112,-0.36661297,0.6276479,-2.0899262,1.4230847,-0.05878663,1.743819,-0.43857107,0.31772283,0.6775884,-0.8026088,-0.5408871,0.22308299,0.9477371,0.820205,-0.41161096,-0.32568476,1.0630337,-0.3945708,0.25363326,1.9820757,-0.93798137,0.37089103,0.64534676,0.8402733,-0.0023016334,1.6243806,-0.2796649,-1.6022296,1.2940874,0.71851045,-0.82453555,-0.19404432,0.12247276,0.7918683,-1.5560739,0.5614873,-1.8082246,-0.18191504,-0.417308,-0.7468275,-1.268224,0.037161574,1.6947463,0.8988339,0.55191386,0.22784732,-1.9225929,1.9721472,0.3324837,-1.2394145,-0.50069606,-0.7624992,-0.8850713,-0.6973451,0.5527831,0.6582426,-0.34997725,0.77963936,1.1795464,0.19506764,0.5572076,-0.8393302,-1.009536,0.35307944,0.697791,1.3130606,1.3764186,-0.2546757,0.593834,-0.08904728,-0.087397784,0.82388324,1.130047,0.5436254,-0.29283005
0.84798175,-4.0936294,-0.6733891,4.5234737,-1.4821056,0.2394929,-0.7191969,4.9159575,-1.2074171,3.6611316,-0.50241303,-0.4435879,-0.9153384,-0.8242779,-0.6699836,0.8113556,-2.8526201,4.2954655,0.95882154,-0.03916067,-3.3884907,5.88275,-1.1237915,-0.9897716,-0.15576863,4.5297194,-0.8465158,0.8569877,0.16289103,0.89894366,0.3635608,-1.8009484,2.1799424,-4.5173407,2.0651252,-6.2385473,1.3813082,0.9605936,1.2739313,1.4617513,-1.2152963,2.9149756,-2.5765357,0.2829107,-1.4479882,-1.4172379,-1.3770015,0.87306404,-0.61656654,0.9734342,-4.6510754,3.3354793,2.563526,-2.0509894,1.2784742,-5.2788973,4.307276,0.912639,1.7294904,-1.6496713,1.4675183,5.0242567,2.8796086,-1.2842991,1.9178119,-2.0040534,-0.2143755,0.21641476,1.2615471,2.5374413,1.2179205,1.3584874,3.6969185,2.2593544,-4.6029496,1.4549485,4.4374294,2.7056558,1.8522587,-1.5384307,-3.2246447,4.3114057,0.18873775,-1.4579773,3.377303,0.5395581,2.1215844,-5.5365505,-0.05080408,-1.2829511,-0.65511477,1.6593091,-2.5125508,-1.710412,-0.98501074,0.79386044,2.022652,1.5578575,4.0300045,-6.5868464,2.6779847,-1.8758469,0.1811611,0.2468766,-3.519188,0.39524335,-1.4333596,1.3723512,0.6824461,-0.8051033,3.5545526,3.5663867,3.5991585,1.2906435,1.0386822,1.326026,-0.75879526,4.108951,6.624831,3.9160247,4.703555,2.0052953,-0.8797745,-0.9891964,1.3150976,1.6331835,1.5305243,0.9576664
-0.117032886,-2.8574233,0.3101177,3.1761172,-0.8768475,-0.37529516,-1.0568972,4.65514,0.095603764,5.606053,1.4369961,-2.3514056,0.29175705,0.9354898,-0.3451817,1.7931648,-1.5632861,4.916792,-2.4277732,3.4093456,-4.6945105,5.484412,-4.1921864,-0.67448425,2.3700068,2.85669,-1.4094377,0.9475847,-1.5243192,2.6918855,2.7778778,-1.7348211,2.7418637,-4.42852,-0.12725005,-4.6612163,1.5486121,0.21543247,-0.6329402,1.2568301,-0.6371026,1.9568462,-0.73234427,-0.12448776,-2.4352155,1.7112113,-4.328794,1.4761865,0.42072415,1.9765521,-4.1435537,2.7846024,1.9032707,-0.07589328,0.91588044,-6.837683,3.0239062,1.7179089,2.4246793,-2.076849,-4.263359,3.5418806,0.9723229,-2.0551333,1.3755431,-2.1760821,0.5363588,1.6445482,-1.3275008,1.2500963,0.13502789,2.7943466,2.7608044,-0.088312685,-1.0756055,0.552548,3.7514114,2.3051174,2.9402666,-1.1345568,-2.1830893,2.4399292,1.519997,-0.098935604,0.3266453,-0.6932246,0.16573322,-5.3455257,2.3086743,-2.8682656,1.0270483,1.23229,-3.4970927,-2.4904356,0.110928506,0.9735701,3.6594772,2.356283,2.944912,-5.2448845,5.640655,-1.804443,-0.09792876,-1.207149,-2.3952842,-1.6052457,-3.2849522,-1.3106884,0.5003587,1.0718857,2.1016889,2.501095,4.708632,1.7199122,-0.7701775,0.80244756,0.88541937,4.48592,4.608367,4.2732983,2.1782696,1.1413115,2.011762,-3.0083406,3.4334295,0.8527302,0.9190546,1.2904398
0.43980086,-2.4354222,-0.5523623,3.2333574,-0.520089,0.69801795,0.35571945,4.132462,1.194746,1.8414516,1.9877446,-2.311338,-0.7780758,1.6978706,-2.2813294,2.0719185,-0.72644126,5.1103816,-1.9757094,1.6951025,-4.9498563,4.012084,-2.8026981,0.58382756,0.5130941,2.1004922,-1.622255,-2.0122933,-0.839592,0.73910064,2.0024605,-2.8458931,1.3706242,-3.1229193,-3.2085402,-4.27513,2.3172405,1.6130234,0.97253287,2.1518476,0.15048182,0.9321377,0.8749589,-1.004439,1.2478048,-0.83698654,-1.3777559,1.2562287,-0.05131629,-0.070839465,-2.4412265,2.0168219,3.1178918,-2.6438556,0.88869,-4.9592447,2.5799994,-0.033771217,-0.028051376,1.6861196,-1.0598218,4.176863,2.5728803,-2.3000977,2.4249735,-0.32470798,0.20281544,0.6000391,0.6212207,2.1721094,2.0645533,-0.63918525,3.5678701,1.6590924,-2.1737797,0.3553937,1.9783134,2.2465844,3.6435149,-1.8776253,-0.29026133,3.9596293,-1.0598229,0.72088814,-1.2168368,0.84621894,2.09064,-1.3785603,1.1597991,0.18336868,1.1557506,3.528079,-3.3101714,-2.8021214,-0.04032229,-0.8048969,3.348984,4.3776712,3.6997285,-5.1803474,5.3872766,-0.31863245,-1.8850824,0.7195798,-3.1315458,-1.9490303,-0.9747317,1.0166147,-0.54300886,-1.6659294,2.183855,2.3028588,3.0992095,2.4251428,0.03908789,-1.4297235,-0.46413112,0.07005167,3.69861,2.7876623,2.2848458,1.064452,-0.68855006,0.30602747,3.6531048,3.132302,1.6529534,0.0612607
-0.28384632,-4.3004704,1.5141158,0.28051883,1.5612411,-0.067261904,-1.8358258,2.105178,-1.071477,2.8215501,0.9025037,-0.87399733,-1.4412678,0.6639286,-2.5654726,1.7444739,-1.091306,1.5051224,0.705754,1.6494019,-4.6194277,4.1989436,-0.42223832,0.55375946,-0.48962414,3.7490535,-2.3056433,-1.0564413,-0.5718137,4.33485,-0.15543199,-2.0833225,0.05249715,-5.4293303,-2.4580054,-2.4806619,0.38409054,2.3838677,0.96172875,0.52233,0.97543144,1.5122228,-0.23756474,-0.3706302,-1.477088,-2.0273988,-1.7103026,2.17382,0.8958087,0.4221351,-2.6379066,3.508988,2.020153,-2.0088267,1.5727574,-2.9421644,2.0377367,0.120236635,0.5427882,-2.351325,-1.6918441,2.5313258,4.8836703,-0.34884155,-0.18860877,-0.48847508,2.9012098,3.7484899,-1.3738781,1.8010788,1.4163864,-0.069762826,1.2930284,-0.37631404,-1.3149531,3.803513,3.9516444,2.4927773,2.2388313,-0.9080304,-2.2722826,3.514544,0.4236306,-2.1895857,0.8801876,1.2810941,-0.14968887,-2.6095598,0.21065722,-3.6430445,2.3744166,0.38765827,-3.7831917,-3.6296983,-1.3276169,-1.2551327,4.208437,1.2851949,3.0477304,-3.4069946,3.6316602,-1.3810911,-0.37232915,-0.8430387,-0.34021884,-2.50604,0.5729719,-2.0943391,-0.5098094,1.9557168,3.3203797,3.1400838,3.1513574,1.8472587,1.6739875,-1.5399857,-0.116380036,-0.3303951,2.2314255,2.8656971,1.200591,3.2052684,-0.9692482,-1.7826777,3.093603,0.723897,0.58735764,-0.5825927
0.4304474,-1.5217192,-1.1061933,3.0727842,-1.6117374,0.93425214,1.6715233,3.4292102,-0.5886914,2.1530428,-0.48489428,-0.3742723,-2.9907086,-1.6020424,-1.396777,0.56906235,-2.2410305,3.0369918,-1.4749867,0.38976997,-4.4127274,3.8095102,-0.51241076,0.08915359,0.75731796,2.4221494,-0.18014523,-0.08101714,1.1209666,2.5041943,1.9883724,-2.2241063,2.4380493,-3.129558,0.07083584,-3.6487572,3.7939777,-0.27965927,2.3133419,1.0971047,-0.20045847,0.4814396,-1.9653947,-1.1684647,0.7799765,-3.4968295,-1.551795,0.7669346,0.26741505,1.8055212,-1.6870948,3.3368602,2.2850928,-2.261182,-0.9578226,-3.7789686,4.862421,0.6292875,3.8912933,-1.6134181,-0.27213,2.3993528,1.5520546,-0.9876062,0.5204923,-0.6061096,2.5709162,-0.24878502,1.8448483,1.9589969,1.6168401,0.03836648,2.62149,0.95188856,-1.2139909,1.2645153,3.6313615,3.3936424,3.446807,-0.3646382,-4.769398,4.2107043,0.14320987,-0.77184236,-0.09673643,0.06466591,0.2575134,-3.1189194,1.5273211,-4.0460606,1.3915553,0.57150364,-2.7550871,-2.088357,-0.9774629,-0.058579355,2.804922,3.1850333,2.4929929,-5.649569,3.973979,0.74307036,0.9291272,1.0141447,-3.1715298,-2.5025172,-1.6822163,-1.3744037,0.14982161,-0.6859795,0.63485,3.3106275,3.504698,2.6518245,-0.27797598,-0.47431505,-1.7913201,3.3201523,2.8867905,3.0799136,2.33483,1.8559719,-1.2617109,-2.205214,2.6570623,0.17528546,0.016228974,0.27168697
